업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
카페종로시장,2일 전,5,5,5,"
            플레인스콘/1,카라멜스콘/1,치즈크림샌드스콘/1
          ","저 스콘 지인짜 좋아하는대 가성비 굿굿이고 
부드러우면서 촉촉하면서 스콘 식감은 유지되는 맛있는 스콘이에용! 크기도 커서 엄청 만족용 
서비스로 주신 아메리카노도 맛있었어요 
아주 야~ㄱ간의 산미와 고소함이 있어서 산미 싫으신분들 좋아하실꺼 같아용"
카페종로시장,3일 전,5,5,5,"
            누텔라버진/1
          ",너무 맛있어요 비주얼부터 난리남 😋😋😋😋😋
카페종로시장,6일 전,4,5,5,"
            요기요세트/1
          ","맛있어요~ 
양이 많아서 배도 부르네요!"
카페종로시장,2022년 3월 21일,5,5,5,"
            베이컨스크램블/1
          ","아직 실패를 경험 못해봄
여러 종류 다 시켜봤는데 다 맛있음"
카페종로시장,2022년 3월 20일,5,4,5,"
            누텔라버진/1,소세지&에그&프룻/1
          ",잘먹었습니다 아이도좋아해요
카페종로시장,2022년 3월 20일,5,5,5,"
            왓 더 팬케이크/1,후르츠타르트/1,로얄밀크티 TAVALON/1(HOT or ICE 선택(HOT))
          ",항상 맛나게 먹고 있어요 ~
카페종로시장,2022년 3월 19일,5,5,5,"
            왓 더 팬케이크/1(추가 선택(버터추가)),앙버터크로와상/1
          ","맛있고 또 시켜 먹고 싶은 집.
앙버터 진짜 큼 버터 진짜 큼"
카페종로시장,2022년 3월 17일,5,5,5,"
            소세지&에그&프룻/1
          ",최고에요! 정말로 최고!
카페종로시장,2022년 3월 14일,5,5,5,"
            소세지&에그&프룻/1,카라멜스콘/1,후르츠휘낭시에/1
          ",정말맛잇게 잘먹었고 구성도 너무좋았습니다 아메리카노도 너무맛있어요
카페종로시장,2022년 3월 8일,5,5,5,"
            누텔라버진/1,크쿠크로와상/1,아메리카노 세레자 /1(HOT or ICE 선택(ICE)),아메리카노 세레자 /2(HOT or ICE 선택(HOT))
          ",맛있게 잘 먹었습니다~맛 없는 게 없는 곳 같아요
카페종로시장,2022년 3월 6일,5,5,5,"
            오늘의 과일 /1,요기요세트/1
          ",최애 브런치집입니다. 주말 브런치로 항상 시켜먹어요!!!
