업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
SIDEBYSIDECoffe-본점,2022년 2월 15일,5,5,5,"
            아몬드 닭가슴살 파니니 치아바타/1(치아바타 선택(플레인 치아바타)),불고기 파니니 치아바타/2(치아바타 선택(플레인 치아바타)),단호박 샐러드/1(샐러드 소스 선택(참깨 드레싱))
          ",샌드위치는 여기가 최고예요 ㅎㅎ
SIDEBYSIDECoffe-본점,2022년 1월 7일,5,5,5,"
            프릳츠 아메리카노/1(HOT or ICE 선택(Hot)),리얼 코코아/2(HOT or ICE 선택(Hot)),햄치즈 파니니 치아바타/1(치아바타 선택(플레인 치아바타)),리코타치즈 파니니 치아바타/1(치아바타 선택(플레인 치아바타)),블루베리 머핀/1
          ",This cafe is lovely! They go above and beyond expectations. The sandwiches and muffin were delicious! I have no pictures because we ate our food so fast! Thank you for a wonderful breakfast!
SIDEBYSIDECoffe-본점,2022년 1월 7일,1,1,1,"
            불고기 파니니 치아바타 세트/1(치아바타 선택(먹물 치아바타),SET음료 선택(HOT 아메리카노))
          ","파니니가 원래 차가운 음식인지는 모르겠지만 고기도 그렇고 그냥 다 미지근한 수준이 아니라 차갑고 커피도 다 쏟아져서 그나마 닦은거로 첨부하긴 했네요. 그리고 분명히 안전배달 선택하고 요청사항에 제발 벨, 인터폰 누르지 말아달라고 했는데 1층 인터폰, 벨 배달비 5천원 받으시고 다 그대로 쩌렁쩌렁하게 울려주시고 가셨네요. 커피는 쏟아질대로 쏟아져서 저는 제가 받아야할 양 보다 훨씬 적게 받았네요. 드실거면 가셔서 드시던지 하시는게 나을 듯 하네요. 배달 서비스는 정말 꽝 입니다"
SIDEBYSIDECoffe-본점,2022년 1월 3일,5,5,5,"
            리코타 치즈 샐러드/1(샐러드 소스 선택(오리엔탈 드레싱)),햄치즈파니니치아바타 세트/1(치아바타 선택(플레인 치아바타),SET음료 선택(HOT 바닐라라떼))
          ",호캉스 하는데 기분좋게 아침시작했어요:) 너무 맛있고 든든한 한끼🤍
SIDEBYSIDECoffe-본점,2021년 12월 27일,5,5,5,"
            아몬드 닭가슴살 파니니 치아바타 세트/1(치아바타 선택(먹물 치아바타),SET음료 선택(HOT 아메리카노)),마들렌/1(메뉴 선택(레몬마들렌))
          ",아몬드 닭가슴살 파니니 정말 멋있게 먹었어요!!♡
SIDEBYSIDECoffe-본점,2021년 12월 23일,5,5,5,"
            리코타치즈 파니니 치아바타/1(치아바타 선택(플레인 치아바타)),아몬드 닭가슴살 파니니 치아바타/1(치아바타 선택(플레인 치아바타))
          ",오랜만에 시켰는데 맛이 그대로네요 ㅎㅎ 맛있어요!
SIDEBYSIDECoffe-본점,2021년 12월 1일,5,5,5,"
            단호박&흑미 샐러드/1(샐러드 소스 선택(참깨 드레싱)),마들렌/1(메뉴 선택(레몬마들렌))
          ",콩 대신 다른 거 넣어주셔서 맛있게 잘 먹었습니다😋
SIDEBYSIDECoffe-본점,2021년 11월 25일,5,5,4,"
            리코타아보카도샐러드/1(샐러드 소스 선택(발사믹 드레싱))
          ",맛있어요. 리코타도많아요
SIDEBYSIDECoffe-본점,2021년 11월 12일,5,5,5,"
            프릳츠 바닐라라떼/1(HOT or ICE 선택(Iced))
          ",양도 많고 맛있어요
SIDEBYSIDECoffe-본점,2021년 11월 12일,5,5,5,"
            프릳츠 아메리카노/1(HOT or ICE 선택(Iced)),프릳츠 모카라떼/1(HOT or ICE 선택(Iced))
          ",출근하면서 사가는곳
SIDEBYSIDECoffe-본점,2021년 11월 8일,5,5,5,"
            리얼 자몽에이드/1,햄치즈 파니니 치아바타/1(치아바타 선택(플레인 치아바타))
          ",먹자마자 맛있어서 헉 했네요! 자몽에이드도 근래 먹은것중 최고입니다 :)
SIDEBYSIDECoffe-본점,2021년 9월 30일,5,5,5,"
            프릳츠 바닐라라떼/1(HOT or ICE 선택(Iced)),오렌지얼그레이 휘낭시에/1
          ","커피랑 휘낭시에 너무 맛있어요! 근데 배달이 1시간 걸린다고 했는데 한 30분 정도 일찍 와서 좀 서둘러 뛰어갔네요ㅠ 힘들어서 사진찍는거 깜빡하고 휘낭시에는 사무실 도착하자마자 먹어버렸네요ㅋㅋ
다음에도 또 시킬게요!"
SIDEBYSIDECoffe-본점,2021년 9월 1일,5,5,5,"
            프릳츠 아메리카노/3(HOT or ICE 선택(Hot)),블루베리 머핀/1
          ",우선 번개처럼 빠른 배달 감사드려요. 지금 커피 맛있게 마시고 있어요. 수고하세요
SIDEBYSIDECoffe-본점,2021년 8월 28일,5,5,5,"
            프릳츠 바닐라라떼/1(HOT or ICE 선택(Iced)),햄치즈 파니니 치아바타/1(치아바타 선택(플레인 치아바타))
          ",리뷰이벤트로 주신 마들렌도 너무 맛있어요!
SIDEBYSIDECoffe-본점,2021년 7월 13일,5,5,5,"
            닭가슴살 샐러드/1(샐러드 소스 선택(오리엔탈 드레싱))
          ",배달 빨리 와서 좋았고 샐러드도 맛있었습니다.
SIDEBYSIDECoffe-본점,2021년 7월 9일,5,5,5,"
            프릳츠 카페라떼/1(HOT or ICE 선택(Iced)),오렌지얼그레이 휘낭시에/1
          ",라떼 고소하고 맛있어요 휘낭시에도 기대보다 더 맛있네요!
SIDEBYSIDECoffe-본점,2021년 7월 8일,5,5,5,"
            불고기 파니니 치아바타/1(치아바타 선택(플레인 치아바타))
          ",배달도 예상시간보다 엄청 빨리오시고 파니니도 완전 맛있었어요!!! 리뷰이벤트로 주신 아메리카노도 서비스로 먹어도 되나 싶을정도로 좋았습니다 ㅎㅎ 다음에 또 주문할게요~!
SIDEBYSIDECoffe-본점,2021년 5월 31일,5,5,5,"
            프릳츠 바닐라라떼/1(HOT or ICE 선택(Iced)),블루베리 머핀/1
          ","맛있는 커피가 너무 마시고 싶었는데 한 입 마시고 만족했어요. 적당히 진한 편인 것 같아요~! (진해서 맛있습니다ㅎㅎ)
머핀 속까지 엄청 촉촉하고 블루베리 향이 정말 좋아요~! 오늘은 가격 맞추려고 사봤는데 다음에도 계속 커피랑 머핀 하나씩 시킬 것 같아요ㅠㅠ 마들렌도 정말 맛있어요! 
포장도 귀엽고 깔끔하게 챙겨주셨어요 감사합니다 ㅎㅎ"
SIDEBYSIDECoffe-본점,2021년 5월 9일,5,5,5,"
            단호박&흑미 샐러드 세트/1(샐러드 소스 선택(참깨 드레싱),SET음료 선택(ICED 아메리카노))
          ",친절하고 맛있었어요
