업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
사임당떡집-공덕점,2022년 3월 1일,5,5,4,"
            5.절편/1,9.찰시루떡/1
          ",갓 만든 떡처럼 부드럽고 맛있어요~
사임당떡집-공덕점,2022년 2월 12일,5,5,1,"
            9식혜 500mL/1,15.완두베기찰떡/1,4.오메기떡（3개）/1,7.단호박죽/1
          ","맛있게 잘 먹었습니다 
다 맛있네요"
사임당떡집-공덕점,2021년 10월 2일,4,4,5,"
            3.떡케잌/1
          ",색색의 모양으로 자태와 모양이 좋았습니다.   다양하게 구성되어 재미도있고 맛도 볼 수 있어서 좋았습니다.   덕분에 생일 잘 보냈습니다.   감사합니다.
사임당떡집-공덕점,2021년 7월 15일,1,1,1,"
            1.영양찰떡선물셋트/1,3.앙꼬절편/1,10.멥시루떡/1,14.흑임자구름떡/1
          ","떡배달인데 1시간도 넘게 걸리네요 
다신 안시킵니다"
