업체명,맛,양,배달,주문메뉴,상세리뷰
남경중화요리-남대문시장점,5,5,5,"
            간짜장/2,볶음밥/1
          ",역시나 맛있게 잘먹었습니다
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 1 깐풍기 ＋ 볶음밥 ＋ 면류/1(면류 선택(짬뽕),김치 선택(김치 필요함))
          ",면 따로주셔서 불지않고 먹기좋았어요ㅎ 저렴한가격에 이것저것 맛볼수있어서 딱이네요ㅎ
남경중화요리-남대문시장점,5,4,5,"
            짜장면/3
          ",옛날짜장도 맛있네요~  양이 조금 아쉽네요ㅋㅋ암튼 잘먹었습니다~~~^^
남경중화요리-남대문시장점,5,5,5,"
            간짜장/1(곱배기 추가 선택(곱배기 추가)),간짜장/1
          ","정말 맛있고 배달도 엄청빠르네요~
감사합니다 잘먹었습니다^^"
남경중화요리-남대문시장점,5,5,5,"
            삼선짬뽕/1,해물볶음짜장/1
          ",넘넘 맛있어요. 배달도 빠르고 좋아요
남경중화요리-남대문시장점,5,5,5,"
            고추짬뽕/1
          ","제 주문실수는 아닌거같은대
고추짬뽕??
시켯는대
삼선짬뽕이온듯해요???
얼큰한 고추왕창짬뽕인줄알았는대
해물양이 어마어마해요
담번엔 해물 많이 안주셔도되니 얼~~~~~~~큰한 고추짬뽕으로욯ㅎㅎ
잘먹었습니다~~~~"
남경중화요리-남대문시장점,5,5,5,"
            삼선짬뽕/1,공기밥/1
          ","내용물도 많고 맛있네요
감사합니다"
남경중화요리-남대문시장점,5,5,5,"
            탕짬면/1
          ","오랜만에  시켯는대
역시 맜나옵니다. 면불지마라고 센스까지."
남경중화요리-남대문시장점,4,3,5,"
            탕수육/1(탕수육 사이즈 선택(소))
          ",마감시간에 주문해서 미안했어요 ㅠ 배달은 무척빨랐구요   음식도 맛났습니다.양이 조금 적어서 별하나뺐습니다.
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 1 깐풍기 ＋ 볶음밥 ＋ 면류/1(면류 선택(짜장),김치 선택(김치 필요없음))
          ",맛있어요 배달도 완전 빨라요~
