업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
해담아구찜&해물찜-신당점,어제,5,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(중간맛),추가 선택(새우 5마리 추가)),새우 5마리/1
          ",맛있게 잘 먹었습니다 ㅏㅏㅏㅏㅏ
해담아구찜&해물찜-신당점,어제,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(순한맛)),공기밥/2
          ","양도 많고 아구살도 통통하니 먹을게 많네요~
아구찜 생각나면 또 시킬께요~
서비스 콜라도 감사합니다~번창하세요~"
해담아구찜&해물찜-신당점,2일 전,5,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(中 2~3人（아구900g＋곤이300g＋콩나물700g＋오만둥이）),맛 선택(중간맛),추가 선택(낙지 1마리 추가))
          ",양도 많고 아뒤도 통통한게 맛있게 잘 먹었습니다 ~
해담아구찜&해물찜-신당점,2일 전,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(순한맛))
          ",양도 많고 맛도 좋아요 한번 먹고 두번 먹고 볶음밥도 먹을 수 있어요 순살도 퍽퍽할줄 알았는데 쫄깃쫄깃하고 최고에요
해담아구찜&해물찜-신당점,2일 전,5,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(中 2~3人（아구900g＋곤이300g＋콩나물700g＋오만둥이）),맛 선택(순한맛))
          ",항상 맛있어용 역시 순한맛 최고!!☆
해담아구찜&해물찜-신당점,2일 전,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(중간맛))
          ",가게 홀 이용없이 배달만 하는곳이라 고민됐지만 주문했더니 양많네요 중간맛은 매운느낌없어서좋았어요
해담아구찜&해물찜-신당점,3일 전,5,4,4,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(중간맛))
          ",너무 맛있게 먹었습니다
해담아구찜&해물찜-신당점,3일 전,4,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(순한맛))
          ","오 1-2인분시켰는데 양이 좋으네요!
저희는 3인이먹었어요"
해담아구찜&해물찜-신당점,3일 전,5,5,3,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(중간맛))
          ",양 많고 맛있어요!!
해담아구찜&해물찜-신당점,4일 전,5,5,5,"
            해물찜/1(사이즈 선택(大 3~4人（곤이250g＋알200g＋꽃게 새우 그린홍합 각2개씩＋콩나물900g）),맛 선택(순한맛),추가 선택(곤이 200g 추가))
          ",항상 맛나고 가격좋은 맛집! * 요기요 포함해서10번은 시켜먹은듯 ㅎㅎ 잘먹었어요
해담아구찜&해물찜-신당점,4일 전,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(순한맛))
          ","소자 시켰는데 둘이먹기 충분할 만큼 많았고 계란찜도 너무 맛있어요 :-) 
잘 먹었습니다

 제가 주소를 동을 잘못 기재했는데 다시 가져다주셔서 정말 감사합니다"
해담아구찜&해물찜-신당점,5일 전,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(순한맛))
          ",지난번 보다 자극적이지 않고 해산물도 더 신선해서 좋았어요:)
해담아구찜&해물찜-신당점,5일 전,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(순한맛),추가 선택(곤이 200g 추가))
          ",가장 기본단계 살짝 매운맛이 있어서 딱 맛있게 잘먹었습니다~.  곤이추가했더니 신나게 먹을수 있더라구요~ 양념이 맛있어서 조금 남겨놨다가 저녁에 볶음밥 해먹어야 겠어요~ ╍ 배달은 엄청빠르게 왔어요 ◡̈ ◡̈
해담아구찜&해물찜-신당점,6일 전,5,5,2,"
            해물찜/1(사이즈 선택(小 2人（곤이150g＋알100g＋꽃게 새우 그린홍합 각2개씩＋콩나물500g）),맛 선택(순한맛))
          ",아이들과먹을려고 순한맛으로 시켰어요..배달이조금 늦었지만 맛은있어요.
해담아구찜&해물찜-신당점,6일 전,5,5,5,"
            해물찜/1(사이즈 선택(中 2~3人（곤이200g＋알150g＋꽃게 새우 그린홍합 각4개씩＋콩나물700g）),맛 선택(매운맛))
          ","양도 많고 맛있어요~~^^
시간 맞춰 배달하시느라 수고 많으셨어요
언제나 안전운행 하세요"
해담아구찜&해물찜-신당점,6일 전,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(중간맛)),공기밥/2
          ","해장하려고 시켰는데 둘이서 먹어도 양 많아용
순살이라 먹기도 편하고 맛있게 잘먹었습니다!"
해담아구찜&해물찜-신당점,일주일 전,5,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(순한맛))
          ",양도 많고...아주 맛있습니다.
해담아구찜&해물찜-신당점,2022년 3월 22일,5,5,5,"
            해물찜/1(사이즈 선택(小 2人（곤이150g＋알100g＋꽃게 새우 그린홍합 각2개씩＋콩나물500g）),맛 선택(순한맛)),공기밥/3
          ","너무너무 맛나게 잘 먹었습니다 ㅎㅎ 
양도 많고 서비스도 좋구 대단히 만족합니다"
해담아구찜&해물찜-신당점,2022년 3월 21일,5,5,5,"
            알찜＋곤이/1(사이즈 선택(小 2人（곤이300g＋알250g＋콩나물500g）),맛 선택(순한맛))
          ",알찜 처음 먹어봤는데 진짜 개맛있네요 다음에 기회되면 또 시킬게요 맛과 양 전부 훌륭했어요
해담아구찜&해물찜-신당점,2022년 3월 21일,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(중간맛))
          ",믿고 먹을 수있는 곳 이에요~
해담아구찜&해물찜-신당점,2022년 3월 20일,5,5,5,"
            낙꽃새찜＋곤이 /1(맛 선택(중간맛),사이즈선택(小))
          ","이렇게 주시고 남는게 있나 싶을정도입니다 맛도깔끔 재료도 신선하고  해물(새우,꽂게)의 양도 진짜 많아요 강추합니다"
해담아구찜&해물찜-신당점,2022년 3월 19일,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(中 2~3人（아구900g＋곤이300g＋콩나물700g＋오만둥이）),맛 선택(중간맛),추가 선택(알 200g 추가,낙지 1마리 추가))
          ",맛있게 잘 먹었습니다.
해담아구찜&해물찜-신당점,2022년 3월 17일,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(小 1~2人（아구700g＋곤이200g＋콩나물500g＋오만둥이）),맛 선택(순한맛)),공기밥/2
          ",정말 맛있어요~~~
해담아구찜&해물찜-신당점,2022년 3월 15일,3,4,3,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(순한맛))
          ",밥비벼먹었는데 맛있었어요
해담아구찜&해물찜-신당점,2022년 3월 14일,5,5,5,"
            [신메뉴] 몸통순살 아구찜 /1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(중간맛),추가 선택(낙지 1마리 추가)),（한정판매）아구특수부위（위）2개/1
          ",맛있게 먹었습니다 ㅎㅎ
해담아구찜&해물찜-신당점,2022년 3월 13일,5,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(순한맛))
          ",매콤한게 땡겨서 주문했어요. 적당히 매콤하고 맛있어요! 양도 진짜 많이 먹어서 두 끼 이상 먹을거같아요.
해담아구찜&해물찜-신당점,2022년 3월 12일,5,5,5,"
            아구찜＋곤이（아귀찜）/1(사이즈 선택(1人 아구찜＋와사비장만 제공（아구500g＋곤이140g＋콩나물400g＋오만둥이）),맛 선택(중간맛))
          ",맛있어용 양많아용 근데 쫌 매워요 못드시는분은 순한맛 드세요
