업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
커피나인-이태원점,5시간 전,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있네요!!! 음료 입구도 잘 막아주시고 캐리어에 담아주셔서 하나도 안 흘리게 잘 왔어요~
커피나인-이태원점,어제,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),나인슈페너/1(HOT or ICE 선택(ICE))
          ",커피맛좋아요 ~ 요세 계속 시켜먹고 있어요~
커피나인-이태원점,어제,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),유자유자버스트/1
          ",유자는 처음인데 역시 맛있어요
커피나인-이태원점,어제,5,5,5,"
            라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),죠리퐁라떼/1(추가 선택(덜달게))
          ","커피나인 커피 넘 맛있어요! 배달도 진짜 빠르고~
매일 두잔시켜서 한잔 아침에 한잔 오후에 먹을 생각이에요ㅎㅎ 맛있는 커피 감사합니다!"
커피나인-이태원점,어제,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",맛있게 잘먹었습니다 감사합니다
커피나인-이태원점,어제,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",오늘도 맛있게 잘마셨습니당
커피나인-이태원점,어제,3,3,3,"
            바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),달구나 라떼/1
          ","평소 집에서 커피를 내려마시는데 집에서 간단하게 내려마시는 그런 맛이에요. 양은 많은데 샷은 연하고 라떼의 맛보다 얼음이 많아서 우유인지 얼음(80%)+우유(20%조금)인지 모르겠어요. 소화는 잘되겠네요. 저는 라떼 만들땐 서울우유 일반, 시럽 들어가는 라떼엔 사울우유 저지방으로 만드는데 라떼에 쓰이는 우유가 일반우유보단 연하다고 느껴지네요. 제 입맛이 좀 까다로워서 그런지 몰라도 그냥 저냥 먹을만 했어요. 배불러서 먹다 남겼어요. 바닐라 라떼는 맛만 봤는데 바닐라 시럽이 들어가다 말았는지 그냥 고소한 라떼에 설탕시럽맛이에요."
커피나인-이태원점,2일 전,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",시뤈하고 맛잇고 다해요
커피나인-이태원점,2일 전,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",굿 정말 맛잇어요 하하
커피나인-이태원점,2일 전,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),카라멜 라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ","커피 항상 맛있어요
잘 마셨어요"
커피나인-이태원점,3일 전,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),바닐라 라떼/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",믿고먹습니다 맛있엉ㅅ
커피나인-이태원점,4일 전,5,5,5,"
            아메리카노/3(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",두번째주문인데 커피 맛이 좋아요^^
커피나인-이태원점,4일 전,5,5,5,"
            더치라떼 과테말라/1,더치 캔/1(메뉴 선택(디카페인))
          ",자주 마시고 있어요~~
커피나인-이태원점,4일 전,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",커피 맛있네요 감사합니다
커피나인-이태원점,4일 전,5,5,5,"
            아메리카노/2(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",맛나요~ 번창하세요
커피나인-이태원점,4일 전,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",세번째 주문인데 다 좋은데 요청사항은 항상 안 보시네요ㅎㅎ
