업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
천수냉면-신당점,16시간 전,5,5,5,"
            물냉면/1(추가메뉴(대왕육수)),갈비만두/1
          ",냠냠굿 맛있어요 번창하세요
천수냉면-신당점,4일 전,5,5,5,"
            비빔냉면/1(추가메뉴(대왕육수)),김치왕만두/1
          ","변함없이 맛있습니다~~
잘 먹었습니다~~👍"
천수냉면-신당점,4일 전,5,5,5,"
            비빔냉면/1(추가메뉴(곱빼기,대왕육수)),갈비만두/1
          ",맛있게 잘먹었어요
천수냉면-신당점,2022년 3월 22일,1,5,4,"
            물냉면or물막국수중 택1＋숯불고기180g＋육수/1(메뉴선택(물냉면),육수추가(기본)),반반왕만두（김치3개＋고기3개）/1,후라이/4
          ",물냉면 진짜 맛이없어요ㅠ
천수냉면-신당점,2022년 3월 17일,5,5,5,"
            얼큰해장물냉면/1(추가메뉴(곱빼기)),갈비만두/1
          ",해장에 딱 좋네요
천수냉면-신당점,2022년 3월 13일,3,5,4,"
            물냉면/1,물막국수/1,고기왕만두/1
          ",잘 먹었습니다 ㅋㅋㅎㅎ
천수냉면-신당점,2022년 3월 12일,5,5,5,"
            물냉면/2
          ",배달빠르고 맛있어요
천수냉면-신당점,2022년 3월 10일,5,5,5,"
            물냉면/1,비빔냉면/2
          ",시원하게 먹기 좋습니다
천수냉면-신당점,2022년 3월 6일,5,5,5,"
            물냉면/1,얼큰해장물냉면/1
          ","맛있었습니다.
잘먹었습니다."
천수냉면-신당점,2022년 3월 6일,5,5,5,"
            비빔냉면/1(추가메뉴(대왕육수)),비빔냉면or비빔막국수중 택1＋숯불고기180g＋육수/1(메뉴선택(비빔냉면),육수추가(기본),추가메뉴(곱빼기))
          ",아이고 너무 배불러요
천수냉면-신당점,2022년 3월 4일,5,5,5,"
            물냉면/1(추가메뉴(대왕육수)),반반왕만두（김치3개＋고기3개）/1
          ",넘맛있어요 시원하고 육수도많고
천수냉면-신당점,2022년 2월 24일,5,5,5,"
            물냉면or물막국수중 택1＋숯불고기180g＋육수/1(메뉴선택(물냉면),육수추가(육수 추가))
          ",배달 시켰는데 맛있어여
천수냉면-신당점,2022년 2월 18일,4,4,5,"
            물냉면/3
          ",맛있게 먹어 습니다특히면이쫄기해서더욱맜나게먹어습니다
천수냉면-신당점,2022년 2월 13일,5,5,5,"
            비빔냉면/1,비빔냉면or비빔막국수중 택1＋숯불고기180g＋육수/1(메뉴선택(비빔냉면),육수추가(육수 추가),추가메뉴(곱빼기))
          ",먹을때마다 실망시키는 법이 없는 천수냉면 천수하십쇼
천수냉면-신당점,2022년 2월 10일,5,5,5,"
            물냉면/1(추가메뉴(곱빼기,대왕육수)),비빔냉면/1(추가메뉴(대왕육수))
          ",맛있게 잘 먹었습니다
천수냉면-신당점,2022년 2월 8일,5,5,5,"
            비빔냉면/1(추가메뉴(대왕육수)),물냉면or물막국수중 택1＋숯불고기180g＋육수/1(메뉴선택(물냉면))
          ",비빔이 많이 맵네요 맛있게 잘 먹었습니다 강추입니다
천수냉면-신당점,2022년 2월 8일,5,5,5,"
            비빔냉면/2(추가메뉴(곱빼기,대왕육수))
          ",매콤 달콤 맛있게 먹었어요.
천수냉면-신당점,2022년 2월 7일,5,5,5,"
            물냉면/1,고기왕만두/1,콜라500mL/1
          ","물냉면, 만두 둘다 넘 맛있게 잘 먹었습니다."
천수냉면-신당점,2022년 2월 4일,5,5,5,"
            얼큰해장물냉면/1,갈비만두/1,콜라500mL/1
          ",냉면 대박 만두도 대박 꼭 시켜드세요
