업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
더철판삼겹-숙대점,5일 전,5,5,5,"
            삼겹살/2(사이즈 선택(소（100g）)),목살/1(사이즈 선택(소（100g）))
          ",고기의 육즙이 살아있어요
더철판삼겹-숙대점,6일 전,5,5,5,"
            항정살/1(사이즈 선택(특대（400g）)),한돈 삼겹살/1(사이즈 선택(특대（400g）)),청상추/1,미소된장국/2
          ","적당한 굽기와 쫄깃한 맛 좋아요~~
근데 야채가 양이 조금 적어서 아쉬웠어요 ㅠㅠ"
더철판삼겹-숙대점,2022년 3월 10일,5,3,5,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),돌산갓김치/1
          ","다 좋은데... 갓김치는 쇼킹하네요

1500원 이라고 하지만 쌈장통에 잘게 썰어서 넣어주시다... 돈주고 사먹긴 싫으네요"
더철판삼겹-숙대점,2022년 3월 9일,5,5,5,"
            목살/1(사이즈 선택(중（200g）)),항정살/1(사이즈 선택(소（100g）))
          ",너무 맛있어요 또 시킬게요
더철판삼겹-숙대점,2022년 3월 6일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),고추/1,청상추/1,반공기밥/1,마늘/1
          ","고기 냄새없고 부드럽고 맛 좋네요!!
항정살이 최고에요"
더철판삼겹-숙대점,2022년 3월 5일,5,5,5,"
            삼겹살/1(사이즈 선택(중（200g）)),튀긴 삼겹살/1(사이즈 선택(중（200g）)),고추/2,청상추/1,히말라야핑크소금（＋참기름）/2,공기밥/1,반공기밥/1,튀긴마늘 （고기에 토핑）/2
          ",맛있게잘먹었습니다!!
더철판삼겹-숙대점,2022년 3월 3일,1,1,1,"
            삼겹살/1(사이즈 선택(특대（400g）)),항정살/1(사이즈 선택(대（300g）)),돌산갓김치/1,생 와사비/1,공기밥/1,튀긴마늘 （고기에 토핑）/1
          ","예상도착시간 보다 1시간 지나서 받았습니다. 음식은 픽업했다고 넘어가더니 30분을 서있길래 물어보니 음식 조리가 늦어졌다고 하네요.
맛이라도 있으면 모르겠는데 삼겹 뻑뻑하고 질깁니다. 다른 곳 맛있는 곳 많아요. 배달 음식 최악의 경험이네요."
더철판삼겹-숙대점,2022년 2월 28일,5,5,5,"
            목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),갈치속젓/1,청상추/1,미소된장국/1
          ",잘 먹었습니다 행님~~
더철판삼겹-숙대점,2022년 2월 22일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),명이나물/1,청상추/1,미소된장국/1
          ",여느때처럼 맛있었어요 ㅎㅎ 잘먹었습니다!
더철판삼겹-숙대점,2022년 2월 20일,5,5,5,"
            항정살/1(사이즈 선택(중（200g）)),한돈 삼겹살/1(사이즈 선택(중（200g）)),쌈장 추가/1,명이나물/1,공기밥/2,미소된장국/1
          ",깔끔하고 맛있어서 좋아요~!
더철판삼겹-숙대점,2022년 2월 16일,5,5,5,"
            목살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(특대（400g）)),돌산갓김치/1,청상추/1,튀긴마늘 （고기에 토핑）/2
          ","완전 맛있어요~ 집에 애기를 키우다보니 고기 굽고 뒷정리
하는것도 빡신디~ 저번에도 시켜먹고 맛있어서 또 시켰는데
변함이 없네요^^ 잘먹었습니당"
더철판삼겹-숙대점,2022년 2월 12일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(중（200g）)),청상추/1
          ",맛있게 먹었습니다~
더철판삼겹-숙대점,2022년 2월 12일,4,5,5,"
            목살/1(사이즈 선택(중（200g）)),항정살/1(사이즈 선택(중（200g）)),마늘/1,미소된장국/2
          ",맛있게 잘먹었습니다. 배가넘 고파서 사진을 다 먹고나서 찍었네요ㅜ
더철판삼겹-숙대점,2022년 2월 12일,5,5,5,"
            한돈 삼겹살/1(사이즈 선택(대（300g）))
          ",고기만 먹고 싶은때 좋아요
더철판삼겹-숙대점,2022년 2월 11일,5,3,5,"
            삼겹살/2(사이즈 선택(소（100g）)),목살/1(사이즈 선택(소（100g）)),튀긴 삼겹살/1(사이즈 선택(소（100g）)),명이나물/2
          ",삼겹살이 좋기는 한데 요즘 전반적으로 양이 다 줄은거 같아 슬프네요~
더철판삼겹-숙대점,2022년 2월 8일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(소（100g）)),갈치속젓/1,청상추/1,튀긴마늘 （고기에 토핑）/1,미소된장국/1
          ",잘 먹었습니다 행님~
더철판삼겹-숙대점,2022년 2월 7일,5,4,4,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),미소된장국/2
          ",맛있어요ㅎㅎ 혼술하기도 좋고 여러부위 맛보기도 좋아요 강춥니다
더철판삼겹-숙대점,2022년 2월 6일,5,4,4,"
            삼겹살/1(사이즈 선택(대（300g）))
          ","맛있습니다 
고기가 맛있습니다"
더철판삼겹-숙대점,2022년 2월 3일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),갈치속젓/1,청상추/1,미소된장국/1
          ",행님. 오늘부터 충성하겠슴다.
더철판삼겹-숙대점,2022년 1월 30일,5,5,5,"
            삼겹살/1(사이즈 선택(대（300g）)),상추/1
          ",크으으으으으으으으으으으으르르르르를으ㅡ으으으으으으으응으ㅡ쬰맛탱
더철판삼겹-숙대점,2022년 1월 28일,5,5,5,"
            목살/1(사이즈 선택(중（200g）)),항정살/1(사이즈 선택(중（200g）)),튀긴 삼겹살/1(사이즈 선택(중（200g）)),튀긴마늘 （고기에 토핑）/1,사이다 355mL/1
          ",진짜 실하고 맛나네요 귯
더철판삼겹-숙대점,2022년 1월 28일,5,5,5,"
            목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(중（200g）)),상추/1
          ",양이 조금 적지만..잘 먹었습니다
더철판삼겹-숙대점,2022년 1월 24일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(중（200g）))
          ",맛있었어요 ㅎㅎㅎㅎ
더철판삼겹-숙대점,2022년 1월 23일,5,5,5,"
            삼겹살/1(사이즈 선택(대（300g）)),쌈장 추가/1,공기밥/1
          ",맛있게 잘먹었습니다~
더철판삼겹-숙대점,2022년 1월 17일,5,5,5,"
            튀긴 삼겹살/1(사이즈 선택(대（300g）))
          ",맛있습니다!!
더철판삼겹-숙대점,2022년 1월 13일,5,5,5,"
            목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),한돈 삼겹살/1(사이즈 선택(소（100g）)),반공기밥/1,마늘/1
          ",생각보다 맛나서 놀람 잘먹엇습니다
더철판삼겹-숙대점,2022년 1월 9일,5,5,5,"
            항정살/1(사이즈 선택(소（100g）)),한돈 삼겹살/1(사이즈 선택(소（100g）)),명이나물/1,미소된장국/1
          ",저번에 맛있게 먹었던게 생각나서 또 주문했어요! 잘먹었습니다~~
더철판삼겹-숙대점,2022년 1월 7일,5,4,4,"
            항정살/1(사이즈 선택(대（300g）))
          ",따뜻하게 와서 좋았습니다
더철판삼겹-숙대점,2022년 1월 5일,3,2,4,"
            한돈 삼겹살/1(사이즈 선택(대（300g）))
          ",양 추가해도 고기보다 비계가 더 많으니..비계 좋아하시는분들께 추천~
더철판삼겹-숙대점,2022년 1월 2일,5,5,5,"
            목살/1(사이즈 선택(대（300g）)),한돈 삼겹살/1(사이즈 선택(대（300g）))
          ",감사합니다 잘 먹겠습니다
더철판삼겹-숙대점,2022년 1월 1일,5,5,5,"
            목살/1(사이즈 선택(대（300g）)),공기밥/1
          ",배달 빠르고 맛잇급니다
더철판삼겹-숙대점,2021년 12월 31일,5,5,5,"
            항정살/1(사이즈 선택(소（100g）)),한돈 삼겹살/1(사이즈 선택(소（100g）)),돌산갓김치/1,명이나물/1
          ",항정살을 특히 좋아해요 맛있어요
더철판삼겹-숙대점,2021년 12월 31일,5,5,5,"
            항정살/1(사이즈 선택(중（200g）)),명이나물/1,공기밥/1
          ",정말 맛있어요 최고입니다
더철판삼겹-숙대점,2021년 12월 29일,5,5,5,"
            항정살/1(사이즈 선택(중（200g）)),튀긴 삼겹살/1(사이즈 선택(중（200g）)),구운마늘 （고기에 토핑）/1,콜라 355mL/1
          ",양도 적당히 좋고 맛있었습니다
더철판삼겹-숙대점,2021년 12월 28일,5,5,5,"
            항정살/1(사이즈 선택(소（100g）)),한돈 삼겹살/1(사이즈 선택(중（200g）)),갈치속젓/1,고추/1,쌈장 추가/1,상추/1,콜라 355mL/2
          ",점심 잘 먹었습니다.
더철판삼겹-숙대점,2021년 12월 26일,5,5,5,"
            삼겹살/1(사이즈 선택(중（200g）)),돌산갓김치/1,갈치속젓/1,명이나물/1,마늘/1,콜라 355mL/1
          ","꽤 만족해서 몇번 시켜먹었엉ㅅ
토스결제하니까 포인트 돌려줘서 굿"
더철판삼겹-숙대점,2021년 12월 24일,5,5,5,"
            한돈 삼겹살/1(사이즈 선택(중（200g）)),명이나물/1,공기밥/1
          ",맛집을 알게 되었네요 깔끔하고 맛있어요 단골될듯합니다^^
더철판삼겹-숙대점,2021년 12월 21일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(중（200g）)),명이나물/1
          ",다른리뷰에서 항정살이 맛있다고해서 시켜봤는데 꼬들하고 맛있네요 ㅎㅎ 가끔 고기생각나면 여기서 시켜먹을게요~~
더철판삼겹-숙대점,2021년 12월 20일,4,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),명이나물/1,공기밥/1,구운마늘 （고기에 토핑）/1
          ",간단히 먹기 좋아요 삼겹보다 항정살이 맛있어요
더철판삼겹-숙대점,2021년 12월 15일,5,5,5,"
            삼겹살/1(사이즈 선택(중（200g）)),항정살/1(사이즈 선택(중（200g）)),명이나물/1,상추/1,구운마늘 （고기에 토핑）/1
          ",급 삼겹살이 너무 땡겨서 후기 보고 주문했는데 깔끔하고 맛있었어요!! 명이나물 꼭 같이 드세요!!
더철판삼겹-숙대점,2021년 12월 15일,5,4,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),공기밥/1,구운마늘 （고기에 토핑）/1,콜라 355mL/1,사이다 355mL/1
          ",양이 좀 아쉽네요... 맛있습니다! 소식이 건강의 길이니라....
더철판삼겹-숙대점,2021년 11월 24일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(대（300g）)),쌈장 추가/1,명이나물/1,구운마늘 （고기에 토핑）/1,콜라 355ml/1
          ",맛잇게 잘먹었습니다 !!!!맛잇어요~~~~
더철판삼겹-숙대점,2021년 11월 21일,5,5,5,"
            삼겹살 중  200g/2,목살 중 200g/1,튀긴 삼겹살/1(사이즈 선택(소（100g）)),생 와사비/1,히말라야핑크소금（＋참기름）/1,마늘/1
          ",둘이먹다하나가모르쇠할맛
더철판삼겹-숙대점,2021년 11월 5일,5,3,5,"
            항정살/1(사이즈 선택(소（100g）))
          ",항정살이 맛있다는 리뷰가 많아서 시켜봤는데 정말.. 씹을때 탱글거리는 삼겹살 처음먹어봐요
더철판삼겹-숙대점,2021년 10월 29일,5,5,5,"
            삼겹살/1(사이즈 선택(대（300g）)),목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(대（300g）))
          ",이틀연속 주문할만큼 맛있어요 전 항정살이 젤 맛있어요 쌈장두 맛있어요 맛있는 음식 감사합니다
더철판삼겹-숙대점,2021년 10월 29일,5,5,5,"
            항정살 중 200g/1,한돈 삼겹살/1(사이즈 선택(대（300g）)),상추/2
          ",오랜만에 주문했는데 역시 최고 맛있어요
더철판삼겹-숙대점,2021년 10월 25일,5,5,5,"
            삼겹살 중  200g/1,돌산갓김치/1,명이나물/1,히말라야핑크소금（＋참기름）/1
          ","까알끔
맛은 뭐 말해 뭐합니까
양도 딱 적당하고
무엇보다 이 가격에 이정도 퀄리티면 끝났다고 봐야죠"
더철판삼겹-숙대점,2021년 10월 16일,5,5,5,"
            삼겹살 중  200g/1,튀긴 삼겹살/1(사이즈 선택(중（200g）))
          ",오는 동안 좀 식었지만 맛있네요 바쁜 시간일텐데 배송도 생각보다 빨랐어요 고기 고플때 또 올게요 오자마자 먹느라 음식사진을 못 찍었네요 튀김 삼겹살 맛있어요
더철판삼겹-숙대점,2021년 10월 14일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),갈치속젓/1,상추/1
          ","처음 시켜 먹었는데 너무 만족합니다
갈치젓갈도 너무 맛있고 명이나물도👍👍👍
또 시켜먹을께요!!!  삼겹살 고기질이 너무 좋네요"
더철판삼겹-숙대점,2021년 10월 4일,5,5,5,"
            목살 중 200g/1,항정살/1(사이즈 선택(소（100g）)),명이나물/1,구운마늘 （고기에 토핑）/1,콜라 355ml/1,미소된장국/1
          ",맛있게 먹었습니다 :)
더철판삼겹-숙대점,2021년 9월 8일,5,5,5,"
            삼겹살 중  200g/1,돌산갓김치/1,공기밥/1
          ",잘 먹었습니다 자주 주문하는곳
더철판삼겹-숙대점,2021년 9월 6일,5,5,5,"
            삼겹살/1(사이즈 선택(특대（400g）)),명이나물/1,상추/1,구운마늘 （고기에 토핑）/1
          ",육즙이 살아있네요 잘먹었어요
더철판삼겹-숙대점,2021년 9월 5일,5,5,5,"
            삼겹살/1(사이즈 선택(대（300g）)),갈치속젓/1
          ",배송빠르고 맛있어요 ㅎㅎ
더철판삼겹-숙대점,2021년 9월 1일,5,5,5,"
            한돈 삼겹살/1(사이즈 선택(중（200g）)),구운마늘 （고기에 토핑）/1
          ",고기 부드럽고 맛있어용
더철판삼겹-숙대점,2021년 8월 30일,5,5,3,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）))
          ",항정살은 사랑이다~
더철판삼겹-숙대점,2021년 8월 29일,5,5,5,"
            항정살 중 200g/1,튀긴 삼겹살/1(사이즈 선택(중（200g）)),한돈 삼겹살/2(사이즈 선택(중（200g）)),쌈장 추가/1,생 와사비/1,상추/1,반공기밥/1
          ","사촌동생이랑 너무 맛있게 먹었어요
집근처가 아니라서 아쉽네요
집근처였음 자주 먹게될텐데"
더철판삼겹-숙대점,2021년 8월 13일,5,5,5,"
            삼겹살/1(사이즈 선택(대（300g）)),항정살/1(사이즈 선택(소（100g）)),생 와사비/1,상추/1,공기밥/1
          ","최고입니다
맛 굿
위생 굿
서비스(친절+++)"
더철판삼겹-숙대점,2021년 8월 10일,1,1,5,"
            삼겹살/1(사이즈 선택(중（200g）)),목살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),명이나물/1,공기밥/2,구운마늘 （고기에 토핑）/1
          ","고기에서 돼지 냄새 나고 맛이 없네요.

나름 가격이 괜찮아서 시켰는데 실망이 큽니다."
더철판삼겹-숙대점,2021년 8월 10일,5,5,5,"
            한돈 삼겹살/1(사이즈 선택(특대（400g）)),공기밥/2,마늘/1
          ","심플하지만 삼겹살 구워먹기
귀찮을때 딱 좋습니다"
더철판삼겹-숙대점,2021년 8월 9일,5,5,5,"
            삼겹살/1(사이즈 선택(대（300g）)),쌈장 추가/1,명이나물/1,공기밥/1,마늘/1
          ",잘먹었습니다....강추
더철판삼겹-숙대점,2021년 8월 7일,5,5,5,"
            한돈 삼겹살/1(사이즈 선택(대（300g）)),명이나물/1,구운마늘 （고기에 토핑）/1
          ",거의 주마다 먹는데 보통 방문포장하는데 배달시켜먹으니 편하긴 하네요. 한돈이라 정말 맛있고 양도 많아요. 마늘도 많이 주시고 서비스로 스프라이트도 주셨네요. 감사합니다. 하지만 다이어트중이라. 다이어트 끝나고 먹을게요.
더철판삼겹-숙대점,2021년 7월 24일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),생 와사비/1,명이나물/1
          ","고기 잡내도 안나고 굽기도 적당하고 포장도 깔끔하고 너무 맛있게 잘먹었습니다!!!
허겁지겁 먹느라 사진을 못찍어서 너무 아쉬워요 ㅠㅠ"
더철판삼겹-숙대점,2021년 7월 22일,5,5,5,"
            삼겹살 중  200g/1,튀긴 삼겹살/1(사이즈 선택(소（100g）))
          ",맛있숩니다!!!!!
더철판삼겹-숙대점,2021년 7월 20일,5,5,5,"
            목살 중 200g/1,삼겹살/1(사이즈 선택(소（100g）)),돌산갓김치/1,명이나물/1
          ","진시 먹다가 씁니다. 절대 댓글 공작부대 아님!!!

고기가 부드러워서 좋았습니다. 사이드메뉴 명이랑 갓김치
맛있어요~(자취 하시는분들은 한끼로 굿굿)

배달 시간 맞춰서 잘 와주셨어요^^ 안전운전하세요~

한끼로 정말 좋았어용"
더철판삼겹-숙대점,2021년 7월 18일,5,5,5,"
            삼겹살/1(사이즈 선택(소（100g）)),목살/1(사이즈 선택(소（100g）)),고추/1,공기밥/1,반공기밥/1,마늘/1
          ",맛있어요
더철판삼겹-숙대점,2021년 7월 15일,5,5,5,"
            삼겹살/2(사이즈 선택(소（100g）)),항정살/1(사이즈 선택(소（100g）)),상추/1,공기밥/1,콜라 355ml/1
          ",항상 최고입니다!!!!!!!
더철판삼겹-숙대점,2021년 7월 14일,5,4,4,"
            삼겹살 중  200g/1,튀긴 삼겹살/1(사이즈 선택(소（100g）)),돌산갓김치/1
          ",고기가 맛있어요 부드럽네요
더철판삼겹-숙대점,2021년 7월 2일,5,5,5,"
            한돈 삼겹살/1(사이즈 선택(특대（400g）)),명이나물/1,상추/1
          ",맛있게먹었습니다ㅎㅎ
