업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
스쿨푸드-종로점,2일 전,5,5,5,"
            베스트 SET 2/1,중독양념만두/1,매콤달콤소떡꼬치/1
          ",적당히 매콤하고 맛있어요~~
스쿨푸드-종로점,2일 전,4,4,4,"
            스페셜마리 Ⅱ/1,스페셜마리 Ⅲ/1,미나리 제육덮밥/1,신김치말이국시 with 짱아치/1
          ","배달예정시간보다 좀 더 걸렸어요ㅎ 신메뉴 중 스페셜마리3은 괜츈 벋뜨 미나리제육덮밥은 별루...ㅎ 밥 양을 좀더 부탁드렸는데 반영이 된건진 모르겠지만 제 입엔 맵고 짜고 감칠맛이 없는 양념이었어요, 즉석밥이라도 있으면 더 비벼서 중화시키고 싶을 정도로ㅠ 미나리향도 별로 안느껴지고 고기도 딱딱함+질김... 이름만 들으면 맛이 없을 수 없는 조합인데 이게 또 이렇게 내 통수를ㅠㅠㅠ 스쿨푸드 메뉴 전부 가격대비 양이 항상 아쉽긴 하지만 맛과 양은 이 매장의 문제는 아니기에... 배달만 좀더 신경써주시면 감사하겠습니다ㅎ"
스쿨푸드-종로점,3일 전,5,5,5,"
            신김치말이국시 with 짱아치/1,쫀득고구마치즈볼/1
          ",양 많고 무엇보다 배달이 되는 집이라서 너무 감사하고 좋아요..^^ㅠㅜㅜㅠㅠ 요기요 뭐 배달이 되는 집이 하나도 없는 줄 알았네요..
스쿨푸드-종로점,3일 전,5,5,5,"
            스페셜마리 Ⅱ/1,중독양념만두/1
          ",맛있게 잘 먹었습니다!
스쿨푸드-종로점,3일 전,5,5,5,"
            서울부대국밥/1,돼지 왕구이 어부밥/1,오징어 튀김/1,순대/1
          ",gooooooooood
스쿨푸드-종로점,5일 전,4,4,4,"
            스페셜마리 Ⅱ/1,길거리표떡볶이/1,장조림 버터비빔밥（간장맛）/1
          ",할인 받아서 잘 먹었어요 날치알은 어린이 입맛이라 그런지 안맞네요
스쿨푸드-종로점,5일 전,5,5,5,"
            돼지 왕구이 어부밥/1,오징어 튀김/1
          ",맛있어요 잘 먹었습니다.
스쿨푸드-종로점,5일 전,5,5,5,"
            장조림 버터비빔밥（간장맛）/1,통통김말이/1
          ",맛있어요! 잘 먹었습니다.
스쿨푸드-종로점,5일 전,5,5,5,"
            이태원부대국밥/1,삶은계란/1,웰치스 딸기 （캔）/1
          ",맛있게 잘 먹었습니다.
스쿨푸드-종로점,6일 전,5,5,5,"
            베스트 SET 2/1,스페셜마리 Ⅲ/1
          ",맛있게 잘먹었어요!
스쿨푸드-종로점,6일 전,2,3,5,"
            스페셜마리 Ⅱ/1,떡순이모듬/1
          ","재 주문 안합니다.
●배달해주시는분만 수고하셨습니다.

순대도 말라있고, 김밥도 별로고
너무 너무 별로였습니다.

요즘 떡볶이랑 튀김 맛있는곳이 얼마나 많은데요!!! 메뉴로 승부보시지 말고 
진정한 맛으로 승부하는 스쿨푸드가되시길..."
스쿨푸드-종로점,2022년 3월 23일,5,5,5,"
            통새우마리/1,장조림 버터비빔밥（간장맛）/1,마리드레싱/1
          ",가격도오르고 배달비도 올라서 안먹다가 할인행사 있어서 기분좋게 먹었어요ㅎㅎ 맛있어오
스쿨푸드-종로점,2022년 3월 22일,5,5,5,"
            옛날 김치볶음밥/1,중독양념순대/1
          ",김치볶음밥은 언제 먹어도 맛있습니다
스쿨푸드-종로점,2022년 3월 22일,5,5,5,"
            스페셜마리 Ⅰ/1,모짜렐라 스팸계란마리/1,이태원부대국밥/1,돼지목살김치찜/1
          ",스쿨푸드는 항상 옳아요
