업체명,맛,양,배달,주문메뉴,상세리뷰
킹케밥,5,5,5,"
            케밥 라이스 덮밥 （Kebab Rice）/1(메뉴 선택(램 （Kebab Rice Lamb）),세트로 변경 추가 선택(선택 안함))
          ","먹느라 정신없어서 못찍었음요
완전 맛있게 잘먹었음
야채도 많아서 좋았음"
킹케밥,5,5,5,"
            치즈 케밥 Cheesy Kebab/1(메뉴 선택(램 치즈 케밥（Cheesy Kebab Lamb）),세트로 변경 추가 선택(선택 안함)),데일리 렌틸 스프 （Daily Lentil Soup）/1,양파링（Onion Ring）/1
          ",맛있어요. 렌탈스프도 따뜻하기 왔어요. 빵도 같이 와서 좋았네요.
킹케밥,5,5,5,"
            치킨케밥（Chicken Kebab）/1(추가 선택(차지키 소스（Tzatziki Sauce）),세트로 변경 추가 선택(감자튀김＋스프라이트 Sprite)),초콜릿 푸딩（Chocolate Puding）/1
          ","맛있었어요~~~~
좀 늦게 왔어요 ㅠ"
킹케밥,5,5,1,"
            믹스 케밥 （Mix Kebab）/1(추가 선택(추가 고기（Extra Meat）),세트로 변경 추가 선택(감자튀김＋스프라이트 Sprite))
          ",마싯게 잘먹엇습니다 감사합니다 수고하세요
킹케밥,4,4,1,"
            치킨케밥（Chicken Kebab）/1(세트로 변경 추가 선택(선택 안함)),램 케밥（Lamb Kebab）/1(추가 선택(추가 고기（Extra Meat）),세트로 변경 추가 선택(감자튀김＋다이어트 콜라 Diet Coke)),데일리 렌틸 스프 （Daily Lentil Soup）/1
          ",맛있는데 배달이 너무 느려요.. 항상 늦네요
킹케밥,5,3,5,"
            큘바스트 치킨 스테이크（Kulbastı Chicken Steak）/1(추가 선택(칠리 소스（Chilli Sauce）,차지키 소스（Tzatziki Sauce）),세트로 변경 추가 선택(선택 안함)),홈메이드 요구루트（Home Made Yogurt）/1
          ","배달 시간이 참,,,
심각하게 늦네요"
킹케밥,5,5,5,"
            킹 케밥 King Kebab/1(메뉴 선택(믹스 킹 케밥 （King Kebab Mix）),추가 선택(추가 고기（Extra Meat）),세트로 변경 추가 선택(감자튀김＋콜라 Coke))
          ","배달 얘기가 많아서 걱정했었는데, 저는 예상 도착 시간에 정확히 받을 수 있었습니다. ^^
그리고 생각보다 크네요. ㅎㅎ
배고팠는데 맛있게 잘 먹었습니다~"
킹케밥,5,5,5,"
            치킨케밥（Chicken Kebab）/1(세트로 변경 추가 선택(감자튀김＋다이어트 콜라 Diet Coke)),킹 케밥 King Kebab/1(메뉴 선택(치킨 킹 케밥 （King Kebab Chicken）),추가 선택(차지키 소스（Tzatziki Sauce）),세트로 변경 추가 선택(선택 안함))
          ",언제나 믿을 수 있는 맛 맛있는 케밥!
킹케밥,5,5,3,"
            비프 케밥（Beef Kebab）/1(추가 선택(추가 라이스（Extra Rice）),세트로 변경 추가 선택(감자튀김＋아이스티 Ice Tea)),초콜릿 푸딩（Chocolate Puding）/1
          ",배달은 시간 안에 도착했고 응식은 맛있었어요!
킹케밥,1,3,2,"
            램 케밥（Lamb Kebab）/1(세트로 변경 추가 선택(감자튀김＋환타 Fanta)),램 박스 케밥（Box Kebab Lamb）/1(추가 선택(칠리 소스（Chilli Sauce）),세트로 변경 추가 선택(선택 안함))
          ",예상햇던 케밥맛이 아녔음....
