업체명,맛,양,배달,주문메뉴,상세리뷰
미미파스타,4,5,5,"
            스테이크오일파스타/1
          ",고기가 맛있어요~! 잘먹었습니다 :)
미미파스타,5,5,5,"
            트러플베이컨리조또/1
          ",너무 많아요 ㅋㅋㅋㅋㅋㅋ
미미파스타,5,5,5,"
            스테이크크림 파스타/1(사이드 추가 선택(스테이크 100g 추가))
          ","예상시간보다 좀 빠르게 잘 받았습니다. 지난번보다 고기가 부드러웠어요. 보온포장 없이 왔는데도 따뜻하더라구요.
사실 고기추가하면 양 엄청 많은데 한번 추가해본 이후로 자꾸 그렇게 시키게되네요ㅎㅎ 고기는 사랑입니다"
미미파스타,5,5,5,"
            바질토마토파스타/1,불닭치즈리조또（보통맛）/1
          ","양도 많고, 맛있게 잘 먹었습니다!"
미미파스타,5,5,5,"
            베이컨버섯크림 파스타/1
          ",맛있게 먹었습니다.
미미파스타,5,5,5,"
            스테이크크림 파스타/1
          ","배달 10분만에 왓어요 대박 
맛도 굿~~"
미미파스타,4,4,4,"
            세트（파스타or리조또中 택1＋샐러드＋바게트＋윙）/1(메뉴 선택(스테이크크림파스타)),비프로제리조또（보통맛）/1
          ",샐러드가 느끼한걸 잡아줘용
미미파스타,5,5,5,"
            스테이크크림 파스타/1
          ",양도 많고 맛있고 배부르게 잘 먹었습니다. 포장도 굳.
미미파스타,5,5,5,"
            스테이크크림 파스타/1
          ",맛있게 잘 먹었습니다. 스테이크도 빠른배달 덕분인지 따뜻해서 좋았어요.
미미파스타,5,5,5,"
            비프로제파스타（보통맛）/1,스테이크오일파스타/1,트러플베이컨리조또/1
          ","양이 정말많고 
맛도 좋았어요 가성비라는 말이 어울리는 파스타였습니다^^ 특히 올리브오일 향이 끝내주네요"
미미파스타,5,5,5,"
            새우오일파스타/1,해산물토마토리조또（매운맛）/1,척아이롤 스테이크 180g/1
          ","적당한 양에, 보온도 잘 되어오고, 맛도 좋았어요. 특히 새우파스타는 진짜 맛있었습니다"
미미파스타,5,5,5,"
            비프로제파스타（보통맛）/1,스테이크오일파스타/1
          ",보온포장해주셔서 따틋하게잘먹었네요
미미파스타,4,2,1,"
            세트（파스타or리조또中 택1＋샐러드＋바게트＋윙）/1(메뉴 선택(스테이크오일파스타)),매콤새우크림 파스타/1
          ",점심 시간에는 배달 예상시간을 더 늘리셔야 할 것 같아요.. 그리고 새우파스타는 원래 새우가 3개 들어가나요? 다른 리뷰랑도 비주얼이 너무 다른 것 같아요
미미파스타,5,5,5,"
            치킨커리（보통맛）파스타/1
          ",잘 먹었슴니당~~~
미미파스타,5,5,5,"
            스테이크크림 파스타/1
          ",잘먹었습니당당당당당
미미파스타,5,5,5,"
            매콤새우크림 파스타/1,감자튀김/1
          ",맛있게 잘 먹었습니다~ 새우크림파스타 맛있네요!
