업체명,맛,양,배달,주문메뉴,상세리뷰
피자나라치킨공주-서울남학점,4,4,4,"
            더블포테이토 피치세트 L/1(치킨 변경 선택(순살화이트어니언치킨으로 변경),사이드 추가 선택(콜라 1.25L))
          ","너무 느끼느끼 두개로 골라서 느끼했지만, 그래도 맛있게 먹었습니다. 배달도 제시간에 와서 따끈하게 먹었어요!"
피자나라치킨공주-서울남학점,5,5,5,"
            순살화이트어니언 피치세트 L/1
          ",맛있ㅇ음. 뭔지 고민 될때는 둘다 시키면 됨 ㅎㅎ
피자나라치킨공주-서울남학점,5,5,5,"
            피치세트 L/1(치킨 변경 선택(변경 안함)),리얼갈릭소스/1
          ","점점 치킨이랑 피자가 맛이 떨어져가요
피자는 양파가 덜들어간거같고
3년째 시켜먹는데 맛이 변한거 같아요ㅠ
소스가 열일했어요 소스 넘 맛있어요"
피자나라치킨공주-서울남학점,5,5,5,"
            피치세트 M/1(치킨 변경 선택(변경 안함),사이드 추가 선택(콜라1.25L로 변경,파인요거트소스))
          ",가격도 좋고 양도 많고 맛있게 먹었습니다~
피자나라치킨공주-서울남학점,5,5,5,"
            더블포테이토 피치세트 L/1(치킨 변경 선택(양념반후라이드반으로 변경),사이드 추가 선택(리얼갈릭소스))
          ",맛있게 먹었습니다.
피자나라치킨공주-서울남학점,5,5,5,"
            더블포테이토 피치세트 L/1(치킨 변경 선택(변경 안함),사이드 추가 선택(페퍼로니스파게티,양념소스))
          ",피자 진짜 맛있어요
피자나라치킨공주-서울남학점,1,3,3,"
            허니갈릭 피치세트 M/1(사이드 추가 선택(리얼갈릭소스))
          ",솔직하게 예전에는 닭가슴살도 별로없었고 환경생각한다고 종이로 치킨포장하신것같은데 그종이가 마늘양념을 다 흡수해서 퍽퍽했고요 게다가 닭가슴살은 무슨 10분에 6을차지하네요 사장님이 바꼇나요? 이제 여기지점에서 안시켜먹을듯
피자나라치킨공주-서울남학점,4,5,4,"
            페퍼로니 피치세트 L/1(치킨 변경 선택(양념치킨으로 변경))
          ","가성비는 확실히.좋아요
하디만  맛은 어쩔땐 별로도 어쩔땐 맛있고 그러네요
양으로 승부하고 싶을땐 여기가 최곱니다"
피자나라치킨공주-서울남학점,5,5,5,"
            순살닭다리 피치세트 L/1(추가 선택 L(웨지감자100g 추가),사이드 추가 선택(리얼갈릭소스))
          ","나 자는동안 앤이 맛있게먹음
일어나서 식었는데 치킨은 무난, 피자는 겁나맛있었다, 뜨거울때 먹자 ㅎㅎ"
피자나라치킨공주-서울남학점,5,5,5,"
            더블포테이토 피치세트 L/1(치킨 변경 선택(변경 안함))
          ",맛있게 잘 먹었습니다.
피자나라치킨공주-서울남학점,5,5,5,"
            더블포테이토 피치세트 L/2(치킨 변경 선택(순살쉬림프치킨으로 변경),추가 선택 L(웨지감자100g 추가),사이드 추가 선택(콜라 1.25L))
          ",맛있게 잘먹었습니다
피자나라치킨공주-서울남학점,5,5,4,"
            페퍼로니 피치세트 M/1(치킨 변경 선택(변경 안함))
          ",사장님 맛있게 잘 먹었습니다:) 피자와 치킨 둘 다 맛있네요
피자나라치킨공주-서울남학점,3,3,5,"
            페퍼로니 피치세트 M/1(치킨 변경 선택(양념치킨으로 변경))
          ",맛있게. 잘. 먹었습니다
피자나라치킨공주-서울남학점,5,5,5,"
            더블포테이토 피치세트 L/1(치킨 변경 선택(양념반후라이드반으로 변경),사이드 추가 선택(콜라 1.25L))
          ","세상에 죄송합니다 너무 맛있어서 다먹고 찍어버린

피자나라!! 치킨공주!!

다음에 또 시켜먹을께오

너무 감사합니다!!"
피자나라치킨공주-서울남학점,5,5,5,"
            피치세트 L/1(치킨 변경 선택(양념치킨으로 변경),사이드 추가 선택(리얼갈릭소스))
          ",언제나 배신하지않나 피치공 피치공~~
피자나라치킨공주-서울남학점,5,5,5,"
            통새우불고기 피치세트 L/1(치킨 변경 선택(변경 안함))
          ",가성비를 따졌을때 괜찮음.
피자나라치킨공주-서울남학점,5,5,5,"
            더블포테이토 피치세트 L/1(치킨 변경 선택(페퍼간장치킨으로 변경))
          ",맛잇어서 한조각 먹고 사진 찌금
피자나라치킨공주-서울남학점,5,5,5,"
            통새우불고기피자 M/1(사이드 추가 선택(콜라 1.25L)),페퍼간장치킨/1,크런치즈볼（4개）/1
          ",잘 먹었습니다~~!
