,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
19,커피나인-이태원점,2022년 3월 19일,5,5,5,"
            더치커피 디카페인/1(HOT or ICE 선택(ICE)),더치라떼 디카페인/1
          ",일주일에 세번 시켰네요 역시나 맛나고 배달도 빠르고 쵝오에여
20,커피나인-이태원점,2022년 3월 19일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",맛있게 잘먹었습니다
21,커피나인-이태원점,2022년 3월 19일,4,4,1,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ","배달 진짜 화나네요.
반이상 없고
아무리 배달이지만
이렇게 오는거 처음이네요"
22,커피나인-이태원점,2022년 3월 19일,5,5,5,"
            라떼/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",가격 맛 배달 다 좋아요
23,커피나인-이태원점,2022년 3월 19일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),블랙모카라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게 잘 먹었습니다 :) 다만 한 잔은 나중에 먹으려고 모카라떼에 얼음 빼달라고 했는데 들어있었어요..
24,커피나인-이태원점,2022년 3월 19일,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),아메리카노/2(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ","배달빠르고!
추천여!"
25,커피나인-이태원점,2022년 3월 19일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),더치라떼 디카페인/1
          ",일주일에 세번시켜먹어떠요
26,커피나인-이태원점,2022년 3월 18일,5,5,5,"
            나인스쿠키/2(쿠키 선택(더블초콜렛 칩 쿠키))
          ",항상 맛있게 먹고있습니다~
27,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ","자주시켜먹어여
꼼꼼한 포장두 좋아요
맛은 기본이에요"
28,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치커피 디카페인/1(HOT or ICE 선택(ICE),추가 선택(진하게,설탕시럽추가))
          ",맛있게 선택하는 커피집이요^^
29,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인슈페너/1(HOT or ICE 선택(ICE))
          ",gooooooooooooood
30,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            라떼/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",gooooooooooooood
31,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            라떼/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",gooooooooooooood
32,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치커피 케냐/1(HOT or ICE 선택(ICE),추가 선택(진하게))
          ",이태원 최고 가성비
33,커피나인-이태원점,2022년 3월 17일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ","아메리카노와 라떼를 주문했는데, 원두 맛도 좋고 신선했어요! 급히 저녁 대용으로 필요했는데 바로 보내주셔서 참 좋았습니다."
