업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
전곱-종로직영점,12시간 전,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）),추가 선택(당면 추가))
          ",완전푸짐 ㅎㅎ 감사합니다 금방 나오고 포장하기 좋아요
전곱-종로직영점,5일 전,5,5,5,"
            곱창막창볶음/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ",항상 맛있어요!!!!
전곱-종로직영점,2022년 3월 20일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(덜맵게)),무뼈닭발세트（小）/1(사이즈 선택(小（2인）))
          ",맛도 있고 양도 푸짐했습니다. 가성비 갑인것 같아요. 다음에 또 시켜먹어야겠습니다^^ ㅎㅎ
전곱-종로직영점,2022년 3월 20일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ",배달도 엄청 빨리 오고 맛있었어요! 잘먹었습니다 번창하세요~
전곱-종로직영점,2022년 3월 19일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ",잘 먹었습니다 ㅎㅎ
전곱-종로직영점,2022년 3월 19일,5,4,5,"
            치즈야채곱창/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ","잘 먹었습니다~
근데 곱창양이 조금 적어서 아쉬웠어요~
서비스 좋아요!!!!!!!!!!!
원래 기본으로 밥이 나오는걸까요?!?!? 이벤트 참여한건데 두개 와서 놀랬어요😂
감사합니다^^"
전곱-종로직영점,2022년 3월 16일,5,5,5,"
            소곱창전골 （중） /1(추가 선택(당면 추가))
          ",맛있게 잘 먹었어요!
전곱-종로직영점,2022년 3월 13일,5,5,5,"
            무뼈닭발세트（小）/1(사이즈 선택(小（2인）),추가 선택(직화돼지껍데기（1인분）))
          ",닭발 맵기조절옵션이 없는게 아쉽긴했어요. 먹는 사람들 전부 맵찔이어섴ㅋㅋㅋㅋ 그래도 맛있었어요!! 껍데기도 진짜 맛있어요!!
전곱-종로직영점,2022년 3월 12일,5,5,5,"
            순대곱창/1(사이즈 선택(小（2인）),맛 선택(아주맵게))
          ",평이 좋아 시켜먹었는데 정말 다른분들 평대로 너무 맛있어용 ㅎㅎ잘먹었습니다
전곱-종로직영점,2022년 3월 12일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ",너무 맛있어서 후다닥 먹었어요 정말 최고의 맛집입니다 직원분들도 친절하세요 넘 감사합니다
전곱-종로직영점,2022년 3월 12일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ",진짜 맛있어요 서비스도 진짜 최고에요 나중에 또 시킬게요 감사해요
전곱-종로직영점,2022년 3월 11일,4,5,5,"
            막창볶음/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ",양도 많고 배달도 빠른데 막창이 조금 질겼어요ㅠ 쏘쏘합니다
전곱-종로직영점,2022년 3월 8일,5,5,5,"
            소곱창전골 （중） /1
          ",맛있었어요 ~~~~
전곱-종로직영점,2022년 3월 7일,5,5,1,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ",쫌매워도 초딩애들도 좋아해요 맛있게 매콤해서 계속 먹게되네요 ㅎ
전곱-종로직영점,2022년 3월 5일,5,5,5,"
            순대곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ",순대곱창 맛있어용ㅠㅠㅠ 보통맛인데 매운맛은 없는거같더라구요? 매운거 좋아하시는분은 매운맛 드셔도될듯 ㅋㅋ
전곱-종로직영점,2022년 3월 4일,5,5,5,"
            곱창막창볶음/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ",맛있게 잘 먹었어요 감사합니다
전곱-종로직영점,2022년 3월 2일,5,5,5,"
            무뼈닭발세트（小）/1(사이즈 선택(小（2인）),추가 선택(콜라（500mL）))
          ","맛있게 잘 먹었습니다만
배달기사는 굉장히 불쾌했습니다."
전곱-종로직영점,2022년 2월 27일,5,5,5,"
            곱창막창볶음/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ",너무맛있게 잘먹었습니당 다음엔 매장도 한번 가볼게요~
전곱-종로직영점,2022년 2월 27일,5,5,5,"
            곱창막창볶음/1(사이즈 선택(小（2인）),맛 선택(덜맵게),추가 선택(치즈추가))
          ","정말 푸짐하고 맛있습니다ㅎㅎ

서비스로 주신 주먹밥도 맛있었구요!

앞으로 곱창막창은 여기서만 시킬 예정입니다ㅎㅎ"
전곱-종로직영점,2022년 2월 26일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）))
          ","처음 먹어봤는데 음로수, 반찬, 날치알밥, 계란찜 다 주셔서 너무 구성이 마음에 들었어요! 곱창 불맛도 너무 맛있네요ㅠ"
전곱-종로직영점,2022년 2월 25일,5,5,5,"
            무뼈닭발세트（小）/1(사이즈 선택(小（2인）),추가 선택(직화돼지껍데기（1인분）))
          ",적당히맵고 너무 맛있게 먹었습니다:)
전곱-종로직영점,2022년 2월 22일,5,5,5,"
            곱창막창볶음/1(사이즈 선택(中（3인）),맛 선택(덜맵게),추가 선택(날치알주먹밥,콜라（500mL）))
          ",사장님 저희 집 주방에서 평생 곱창볶음만 만들게 하고 싶은데 참습니다. 배달중에 작은 실수가 생겼었는데 미리 연락 해주시고 금방 처리 해주셨어요 😍 이 미친 곱창볶음 녀석을 다들 혼쭐내주셔요
전곱-종로직영점,2022년 2월 22일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ",항상 맛있게 먹고있습니다ㅎㅎ
전곱-종로직영점,2022년 2월 21일,5,5,4,"
            무뼈닭발세트（小）/1(사이즈 선택(小（2인）))
          ","배달 빨라요. 닭발 킬러 지인 말로는 나중에 또 생각나는, 맛있는 닭발 중 하나래요. 그리고 날치알 주먹밥 최고!!!!!!
정말 잘 먹었습나다. 번창하세요^^"
전곱-종로직영점,2022년 2월 20일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(덜맵게))
          ",양도 많고 맛도 좋아요~ 상추에 싸먹으니 맛잇네여 배달이 생각보다 엄청 빨리왔어요
전곱-종로직영점,2022년 2월 19일,5,5,5,"
            야채곱창/1(사이즈 선택(小（2인）),맛 선택(보통맵게（신라면정도매운맛）),추가 선택(당면 추가),추가 선택(갈릭디핑소스))
          ",진짜 맛있구 양도 넉넉했어요 갈릭디핑소스도 진짜 잘 어울려요 다음에 또 시켜먹을거 같습니다
