업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
창신전라도밥상,13시간 전,5,5,5,"
            제육백반/1(사이즈 선택(1人)),차돌된장찌개백반/1(사이즈 선택(1人))
          ",아주 맛있게 잘먹었어요~!
창신전라도밥상,어제,5,5,5,"
            제육백반/1(사이즈 선택(2人))
          ",맛있었어요 양도 많고~
창신전라도밥상,어제,5,5,5,"
            차돌된장찌개백반/1(사이즈 선택(1人))
          ",맛있게 잘 먹었습니다!
창신전라도밥상,어제,5,5,5,"
            제육백반/1(사이즈 선택(1人))
          ",너무나 맛있게 잘먹었습니다
창신전라도밥상,어제,5,5,5,"
            김치찌개백반/1(사이즈 선택(2人))
          ",집밥 먹고 싶을 때 찾게되는 집입니다  아들이 김치찌개를 넘 맛있게 먹어요
창신전라도밥상,2일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人)),김치찌개백반/1(사이즈 선택(1人))
          ",맛있어요!또 주문할게요!!
창신전라도밥상,2일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人))
          ","넘 맛있게 먹었어요
반찬에 국에 밥양까지 넘 최고예요
사장님 대박나세요!!!!!"
창신전라도밥상,2일 전,5,5,5,"
            김치찌개백반/1(사이즈 선택(1人)),계란프라이 1개/1
          ",너무 맛있어요!! 잘 먹었어요!!
창신전라도밥상,2일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人))
          ",맛있게 잘먹었습니다
창신전라도밥상,3일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人),추가 선택(반찬 추가))
          ",🍚🍚🍚🍚🍚
창신전라도밥상,3일 전,5,5,5,"
            김치찌개백반/1(사이즈 선택(1人))
          ",반찬도 풍성하고 맛있었어요♡
창신전라도밥상,3일 전,5,5,5,"
            차돌된장찌개백반/1(사이즈 선택(1人))
          ","맛있었어요
배달이요기요인데 * 배달했네요"
창신전라도밥상,4일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人)),계란프라이 1개/1
          ",맛나게잘 먹었습니다
창신전라도밥상,4일 전,5,5,5,"
            차돌된장찌개백반/1(사이즈 선택(2人)),계란프라이 1개/2
          ",항상 맛도좋고 푸짐해서 최고입니다
창신전라도밥상,5일 전,5,5,5,"
            김치찌개백반/1(사이즈 선택(1人))
          ",매번 맛있게 잘 먹고 있어요.
창신전라도밥상,5일 전,5,5,5,"
            돼지불고기백반/1(사이즈 선택(1人))
          ",맛있게 잘 먹었습니다.
창신전라도밥상,5일 전,4,5,5,"
            제육백반/1(사이즈 선택(2人))
          ",우선. 배달음식중 정갈하고 깔끔하게 온건 첨인거같슴니다. 별 다섯개드렸슴니다. 제육맛은 제 스타일이 아니라. 별 한개 뺏슴니다. 먼길까지 음식흐트러지지않게 조심이 와주신 기사님께 감사한 마음으로 먹었슴니다~^^
창신전라도밥상,5일 전,2,5,5,"
            제육백반/3(사이즈 선택(1人)),차돌된장찌개백반/1(사이즈 선택(1人))
          ",제육볶음은 맛없어요. 나머지 반찬은 먹을만해요. 양은 진짜 엄청 많아요. 반찬도 엄청 많아요. 근데 제육 맛이없어서 남겼어요.
창신전라도밥상,5일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人))
          ",양도 많고 반찬이 다 맛있당
창신전라도밥상,6일 전,5,5,5,"
            차돌된장찌개백반/1(사이즈 선택(2人))
          ","반찬 깔끔하고 맛있었습니다.된장찌개도 맛있었습니다, 번창하세요."
창신전라도밥상,6일 전,5,5,5,"
            차돌된장찌개백반/1(사이즈 선택(2人))
          ",너무 맛있었어요~~~!
창신전라도밥상,일주일 전,4,1,3,"
            차돌된장찌개백반/1(사이즈 선택(1人))
          ",차돌된짱찌개 너무 맛있게 먹었어요!! 근데 ㅠ밑반찬을 조금더 주시면 또시켜먹을꺼갘아요!! 특히 계란말이 주다만 느낌이에요ㅠ
창신전라도밥상,일주일 전,5,5,5,"
            제육백반/1(사이즈 선택(1人))
          ",최고의 가성비 맛 백반입니다.
창신전라도밥상,일주일 전,5,5,4,"
            돼지불고기백반/1(사이즈 선택(1人))
          ",항상 맛있어요!!!
창신전라도밥상,2022년 3월 22일,5,5,5,"
            제육백반/1(사이즈 선택(1人)),공기밥/2
          ",배송도 빠르고 영도 많고 맛있습니닷!! 감사합니다!!
창신전라도밥상,2022년 3월 20일,5,5,5,"
            돼지불고기백반/1(사이즈 선택(2人))
          ",언제나 맛있어요 감사합니다
창신전라도밥상,2022년 3월 20일,5,5,5,"
            돼지불고기백반/1(사이즈 선택(1人))
          ",매번 맛있어요. 반찬도 다양하고 양도 많아요. 추천합니다.
