업체명,맛,양,배달,주문메뉴,상세리뷰
벌떡떡볶이-동대문점,5,5,5,"
            무뼈닭발/1(맛 선택(중간맛),토핑 추가(단무지 한팩))
          ",닭발 너무 맛있어요~ 잘 먹었어요
벌떡떡볶이-동대문점,5,5,5,"
            벌뎅（3~4인분）/1(맛 선택(순한맛)), （야채2,김말이2,오징어2） 종합튀김세트/1
          ",항상 잘먹고있습니다^^
벌떡떡볶이-동대문점,5,5,5,"
            고뎅2인 떡볶이/1(맛 선택(덜매운맛),토핑 추가(우동사리))
          ",배달도 빠르고 새벽에 맛있게 먹었습니다 !!
벌떡떡볶이-동대문점,5,5,5,"
            로제떡볶이/1
          ","으하하하!! 처음 시켜보는데 맛있습니다 ^_^!!
양이 엄청 푸짐해요 재료도 다양하게 들어가있네요
중국당면 좋아하는데 많이 들어서 좋았어요 히히
다른곳보다 로제소스가 크리미한 맛이 더 나는것 같아요 
달콤하고 고소한 우유맛이 강해요 
저는 맵찔이라 매운것 잘 못 먹지만 약간만 더 매콤하면 더더 맛있는 로제떡볶이가 될 것 같습니다~ 
푸짐하게 잘 먹었네용 ^^!! 맛있었습니다~~"
벌떡떡볶이-동대문점,3,3,5,"
            로제2인 분모자떡볶이/1(매운맛 선택(덜매운맛30%))
          ","잘못 왔어요😣 

로제떡볶이를 보내주셨습니다"
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌뎅),맛 선택(순한맛))
          ",선생님...아니 사장님...지금 먹을려고보니 주먹밥이 없네요....주먹밥이 안왔네요 ㅠㅠㅠㅠㅠㅠㅠ
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(순한맛))
          ",너무 맛있어요~~!!!
벌떡떡볶이-동대문점,5,5,5,"
            무뼈닭발/1(맛 선택(중간맛),토핑 추가(단무지 한팩))
          ",넘 맛있어요~ 매콤하니 제 스타일!!!!
벌떡떡볶이-동대문점,4,4,5,"
            무뼈닭발/1(맛 선택(순한맛))
          ",맛있긴 한데 너무 달아요… 불맛나는 닭발 원하시면 비추
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(순한맛))
          ","또또 시켜먹었어요,, 가성비는 진짜 최고인거같아요ㅠㅠㅠㅠㅠ 근데 절대 가격에 비해 퀄리티가 떨어지지 않고요 정말 잘먹었습니당 ㅎㅎㅎ
야식으루 최고에요 담에 또 시켜 먹을게여♡♡"
벌떡떡볶이-동대문점,5,5,5,"
            벌떡떡볶이（3~4인분）/1(맛 선택(중간맛))
          ","스트레스 팍팍 풀리는맛!
오랜만에 먹었는데 너무 잘먹었어요!"
벌떡떡볶이-동대문점,5,5,5,"
            벌떡떡볶이（3~4인분）/1(맛 선택(순한맛))
          ",양이 푸짐해요 담번에 또시킬듯!!
벌떡떡볶이-동대문점,5,5,5,"
            로제2인떡볶이/1(매운맛 선택(덜매운맛30%)),고기튀김/1,참치마요컵밥/1
          ",너무 맛있어서 진짜 개빨리 다 먹었어요 양도 기분좋게 배부를 정도 양으로 딱 맞아서 너무 좋아요
벌떡떡볶이-동대문점,5,5,5,"
            고뎅2인 떡볶이/1(맛 선택(순한맛),토핑 추가(당면))
          ",국물이 너무 모자름
벌떡떡볶이-동대문점,5,5,5,"
            세트2 수벌 （고뎅＋튀김만두2개＋쥬시쿨 180mL 2팩）/1(맛 선택(순한맛))
          ",너무 마싯어요!!!!!배달도 빨랐어요!!
벌떡떡볶이-동대문점,5,5,5,"
            세트6 오뎅탕＋우동사리＋튀김（choice）set/1(골라먹는튀김(새우볼 4개,야채튀김 2개,오징어튀김 2개)),계란찜/1
          ",맛있다맛있다 맛있다 맛있다
벌떡떡볶이-동대문점,5,5,5,"
            세트4 떡.순.튀 （벌떡 2인분 ＋순대＋종합튀김세트）/1(맛 선택(순한맛))
          ",너무 맛 있게 잘 먹었습니다
벌떡떡볶이-동대문점,5,5,4,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(덜매운맛))
          ",처음시켜봤는데 괜찮아요! 양도많아여 ㅎㅎ
벌떡떡볶이-동대문점,4,4,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌뎅),맛 선택(중간맛),토핑 추가(메추리알 （7개）,단무지 한팩,공기밥 （1개）)),계란찜/1
          ",맛있었어요 가성비 짱짱
벌떡떡볶이-동대문점,5,5,5,"
            벌뎅（3~4인분）/1(맛 선택(순한맛))
          ",맛있어요~아쉬운건 매콤하기가 ㅠ.ㅡ전이랑 좀 틀렸습니다
벌떡떡볶이-동대문점,5,4,5,"
            로제2인떡볶이/1(매운맛 선택(기본맛0%),토핑추가(분모자당면 추가)),오징어튀김 4개/1
          ",배달도 빠르고  맛도  좋고  튀김도 따로  주셔서  바삭하게  잘먹었어요 근데  맛있게  먹어서  그런지  먹다보니  양이  조금  아쉬웠어요^^담엔  양많은걸로
벌떡떡볶이-동대문점,5,5,5,"
            세트3 왕벌 （고뎅＋주먹김밥＋쥬시쿨 180mL 2팩）/1(맛 선택(순한맛),토핑 추가(중국당면)),쥬시쿨 930mL 변경（1000원추가）/1
          ","안매운 맛도 살짝 매워요
맛잇게 잘 먹엇습니다!"
벌떡떡볶이-동대문점,5,5,5,"
            세트3 왕벌 （고뎅＋주먹김밥＋쥬시쿨 180mL 2팩）/1(맛 선택(매운맛),토핑 추가(매운야채어묵（3조각）,중국당면))
          ","잘 먹었습니다!

중국당면이 많이 붙어있어서 아쉽긴 했습니다ㅠ"
벌떡떡볶이-동대문점,4,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌뎅),맛 선택(순한맛))
          ",맛있게 먹었습니다 감사합니당
벌떡떡볶이-동대문점,5,5,5,"
            벌떡떡볶이（3~4인분）/1(맛 선택(중간맛),토핑 추가(계란 （2알）))
          ","항상 믿고 맛있게~ 푸짐하게 잘 먹고 있습니다..
사장님 가게 번창하시길 소망합니다!^ ^"
벌떡떡볶이-동대문점,5,5,5,"
            벌떡떡볶이（3~4인분）/1(맛 선택(매운맛))
          ",매운맛 짱매워요... 배달빠르고 맛있어요
벌떡떡볶이-동대문점,4,5,5,"
            세트3 왕벌 （고뎅＋주먹김밥＋쥬시쿨 180mL 2팩）/1(맛 선택(덜매운맛),토핑 추가(튀김계란 （2알）,우동사리))
          ",양 많아서 배불러용 계란튀김 질겨서 놀랐어용
벌떡떡볶이-동대문점,5,5,5,"
            닭볶음탕（3~4인분）/1(맛 선택(덜매운맛),밥 선택(공기밥 2개))
          ",빠르게 잘 받았어요 잘 먹을게요
벌떡떡볶이-동대문점,3,5,5,"
            벌떡떡볶이（3~4인분）/1(맛 선택(덜매운맛))
          ",햄이단하나도안들어있었어요.. 바뀡건가요…?ㅠㅠ
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌뎅),맛 선택(덜매운맛))
          ",양도많고 맛있어요!!!
벌떡떡볶이-동대문점,5,5,5,"
            무뼈닭발/1(맛 선택(매운맛)),주먹밥 추가/2
          ",닭발 먹고 싶을때 이곳에서 주문하는데 꿀맛이에요
벌떡떡볶이-동대문점,5,5,1,"
            고뎅2인 떡볶이/1(맛 선택(중간맛))
          ",맛있게 먹었습니다.
벌떡떡볶이-동대문점,1,1,5,"
            로제2인떡볶이/1(매운맛 선택(기본맛0%),토핑추가(분모자당면 추가))
          ","솔직히 말씀드면,, 별로임 양도 적고"
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌뎅),맛 선택(덜매운맛))
          ","#식후감 
와….매운맛 한단계 올리니까 아주살짝 매콤하면서 땀나게 잘먹엇어요!! 맵찔이 친구는 매워서 밥이랑 번갈아먹으니까 딱이라고 햇어요 ㅋㅋㅋ 오뎅많은걸루 시켯는데 오뎅도 진짜~~~ 많이 종류별로 넣어주셔서 잘 먹었습니당 ㅎㅎ"
벌떡떡볶이-동대문점,5,5,5,"
            로제2인떡볶이/1(매운맛 선택(순한맛10%),토핑추가(주먹밥 추가))
          ",맛있었어요~~!!!!!!!!
벌떡떡볶이-동대문점,5,5,5,"
            로제2인떡볶이/1(매운맛 선택(순한맛10%),토핑추가(오뎅사리 추가))
          ",ㅁㅇㅇㅎㅎㄹㅇㄴㅁ
벌떡떡볶이-동대문점,5,5,5,"
            로제 닭볶음탕（3~4인분）/1(맛 선택(중간맛),밥 선택(공기밥 2개))
          ","정성이 보여요
겁나게 맛나요"
벌떡떡볶이-동대문점,5,5,5,"
            로제떡볶이/1
          ","배달이 진짜 빨라요.
양도 많고 맛있어용"
벌떡떡볶이-동대문점,5,5,5,"
            로제2인 분모자떡볶이/1(매운맛 선택(덜매운맛30%),토핑추가(계란찜 추가,햄사리（7개） 추가)),참치마요컵밥/1
          ",분모자에 튀긴계란의 조합이 최곱니다ㅠㅠ
벌떡떡볶이-동대문점,4,4,5,"
            무뼈닭발/1(맛 선택(순한맛)),계란찜/1,주먹밥 추가/1
          ","처음에는 약간 싱겁다고 생각했는데 먹을수록 슬슬 매운맛이 올라오면서 적당해졌어용!!
양은 가격대비 조금 비싼편이라구 생각되지만 대학로랑 닭발이 머...다 그렇죠....ㅠㅠ"
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(순한맛))
          ",배달도 빨리오고 양도 많고 맛있어요!
벌떡떡볶이-동대문점,5,5,5,"
            로제2인 분모자떡볶이/1(매운맛 선택(기본맛0%),토핑추가(오뎅사리 추가))
          ",전에 로제 분모자 한번 먹었다가 중독 됐음.. 이 쪽 동네에서 여기가 최고!
벌떡떡볶이-동대문점,5,5,5,"
            로제떡볶이/1, （야채2,김말이2,오징어2） 종합튀김세트/1,찰도그 1개/1,계란찜/1,참치마요컵밥/1
          ","로제 떡볶이는 케찹이 들어간 맛이에요. 우유가 많이들어가서 고소하거나 엄청 꾸덕한 느낌은 아니었어요. 그래도 맛있었습니다. 

튀김은 쏘쏘! 기름에 튀겨 눅눅한 맛이 안나서 만족이었어요. 그리고 밥은 엄청 양이 많네욬ㅋㅋㅋ 계란찜은 맛이 녹습니다. 다움에 또 시켜 먹을게요"
벌떡떡볶이-동대문점,5,5,5,"
            세트4 떡.순.튀 （벌떡 2인분 ＋순대＋종합튀김세트）/1(맛 선택(덜매운맛)),오징어튀김 4개/1
          ",역시 맛있어요.떡볶이는 항상 여기에서만 시켜요
벌떡떡볶이-동대문점,5,5,5,"
            벌떡떡볶이（3~4인분）/1(맛 선택(덜매운맛),토핑 추가(중국당면))
          ",맛있게 잘 먹었습니다!!
벌떡떡볶이-동대문점,5,5,5,"
            무뼈닭발/1(맛 선택(순한맛)),주먹밥 추가/1
          ",맛있게 잘 먹었습니다!
벌떡떡볶이-동대문점,5,5,5,"
            무뼈닭발/1(맛 선택(매운맛)),계란찜/1,주먹밥 추가/1
          ",닭발은 첨주문해봤는데 넘 맛있어욥
벌떡떡볶이-동대문점,5,5,5,"
            로제2인 분모자떡볶이/1(매운맛 선택(기본맛0%))
          ",둘이서먹기 딱 좋고 넘마싯어여!
벌떡떡볶이-동대문점,5,5,5,"
            로제떡볶이/1,주먹밥 추가/1
          ","잘먹었습니다!
잘 받았습니다"
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(덜매운맛))
          ",항상 최고.. 늘 잘 먹었습니다!!
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(덜매운맛))
          ",맛있어요~~~~양도 많네요
벌떡떡볶이-동대문점,5,5,5,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌뎅),맛 선택(덜매운맛))
          ",처음 주문해봤는데 맛있네요.
벌떡떡볶이-동대문점,5,5,5,"
            닭볶음탕（3~4인분）/1(맛 선택(덜매운맛),밥 선택(공기밥 0개))
          ",항상 너무 맛있게 잘먹고 있습니다
벌떡떡볶이-동대문점,5,5,5,"
            닭볶음탕（3~4인분）/1(맛 선택(매운맛),밥 선택(공기밥 2개)),계란찜/1
          ","엽기닭도리탕 먹으려다가 영업시간이 지나서 처음 시켜봤어요. 달달하고 매콤하고, 감자도 포슬하고, 무엇보다 닭 상태가 좋아서 만족스럽게 먹었어요.
유명세는 부족할지 몰라도, 맛은 뒤지지 않네요. 덕분에 맛있게 잘 먹었습니다."
벌떡떡볶이-동대문점,5,5,5,"
            세트3 왕벌 （고뎅＋주먹김밥＋쥬시쿨 180mL 2팩）/1(맛 선택(순한맛),토핑 추가(계란 （2알）))
          ",맛있게 잘 먹었습니다
벌떡떡볶이-동대문점,5,5,5,"
            세트3 왕벌 （고뎅＋주먹김밥＋쥬시쿨 180mL 2팩）/1(맛 선택(중간맛),토핑 추가(단무지 한팩)), （야채2,김말이2,오징어2） 종합튀김세트/1
          ",너무 맛있게 먹었어요~^^
벌떡떡볶이-동대문점,5,5,5,"
            세트3 왕벌 （고뎅＋주먹김밥＋쥬시쿨 180mL 2팩）/1(맛 선택(순한맛)), （야채2,김말이2,오징어2） 종합튀김세트/1
          ",역시 정말 맛있었어요
벌떡떡볶이-동대문점,5,5,3,"
            세트1 일벌（벌떡 or 벌뎅 中 택1＋튀김만두2개＋주먹밥＋주시쿨 180mL 2팩）/1(떡볶이 선택(벌떡),맛 선택(덜매운맛))
          ",처음 시킬때 너무 맛있어서 두번째 주문했는데 정말 맛있게 잘 먹었습니다 ㅎㅎㅎ 딱 부담스럽지 않게 맛있는 떡볶이라서 계속 찾게 되는 것 같아요ㅠㅠ 그리구 떡근본에 충실하게 말랑말랑 떡도 많이 들어 있어서 진짜 잘먹었습니다 다음에 또 시킬게요 가성비 최고 ♡><
벌떡떡볶이-동대문점,2,5,5,"
            세트4 떡.순.튀 （벌떡 2인분 ＋순대＋종합튀김세트）/1(맛 선택(매운맛))
          ",맛이너무싱겁네요..
