업체명,맛,양,배달,주문메뉴,상세리뷰
사마르칸트시티,5,5,5,"
            MANTI 찜만두/1,GURO LAGMAN 구로수타면（소고기 야채）/1,양꼬치 1개/1(추가 선택(1개 추가))
          ",처음 시켰는데 맛있었어요 포장도 꼼꼼하게 해주시고 요리가 따뜻했습니다
사마르칸트시티,5,5,5,"
            화덕빵 쌈사/1,양꼬치 1개/1(추가 선택(1개 추가))
          ",배달도 빠르고 정말 맛있네요
사마르칸트시티,4,4,5,"
            PLOV 우즈벡전통볶음밥/1,GULYASH 쇠고기굴라 와 으껜감자/1
          ",맛은 있는데 가성비(?)는 조금 아쉽긴합니다.( 감자가 너무 무난했습니다.) 고기양으로 따지면 식재료 자체로의 가성비는 진심 높은 것 같아요. 이 지역 음식을 경험해보기 위해 먹는다면 매장을 방문하는 것이 맞는 것 같습니다. 그래도 가끔 생각날 것 같은... 묘한 한끼였습니다~
사마르칸트시티,5,5,5,"
            GULYASH 쇠고기굴라 와 으껜감자/1
          ",항상 맛있게 잘 먹고 있어요
사마르칸트시티,5,5,5,"
            BORSH 러시아 전통스프/1,OLIVYE（올리비에）/1
          ",맛있어요!! 배달도 빠르고요 잘 먹었습니다!
사마르칸트시티,5,5,5,"
            KAZAN KABOB 양갈비 감자조림/1,양꼬치 1개/1(추가 선택(추가 안함))
          ",언제나 맛있습니다!!
사마르칸트시티,5,5,5,"
            KAZAN KABOB 양갈비 감자조림/1
          ",맛잇어요! 배달이 되니 넘 좋아요
사마르칸트시티,3,5,5,"
            GULYASH 쇠고기굴라 와 으껜감자/1,화덕빵 쌈사/1,양꼬치 1개/1(추가 선택(추가 안함)),소꼬치 1개/1(추가 선택(추가 안함)),닭꼬치 1개/1(추가 선택(추가 안함))
          ","전에 오프라인 매장에서 넘 맛있게 먹고 배달도 되길래 반가워서 시켰어요. 전반적으로 맛있긴한데 굴라쉬는 차갑게 주시는게 맞는건가요? 그렇다면 메뉴설명에 써주시는게 좋을것 같아요.(비닐봉지에 담겨있는게 굴라쉬입니다)
오는동안 식었나 하기엔 같이 시킨 꼬치는 따끈했고 굴라쉬는 조금 식은 정도가 아니라 냉장고에서 꺼낸지 얼마 안된것처럼 차가웠어요. 고기가 딱딱해서 못 먹겠더라구요.
호텔에서 늦은시간에 시킨지라 전자렌지도 없어 뜨거운물에 중탕해봤는데 미지근정도밖에 안되어서 중탕후 매쉬드 포테이토 조금, 고기 3조각 먹고 그대로 남았습니다."
사마르칸트시티,5,4,3,"
            KAZAN KABOB 양갈비 감자조림/1,양꼬치 1개/1(추가 선택(추가 안함))
          ",맛있어요! 기회되면 직접 방문해서 먹고싶네요!
사마르칸트시티,5,5,5,"
            양꼬치 1개/1(추가 선택(1개 추가))
          ",정말 좋아하는 음식점인데 배달시켜먹을수 있으니 너무 좋네요
사마르칸트시티,5,5,5,"
            화덕빵 쌈사/1,양꼬치 1개/1(추가 선택(1개 추가))
          ",너무 너무 맛있어요
사마르칸트시티,5,4,5,"
            BORSH 러시아 전통스프/1,KAZAN KABOB 양갈비 감자조림/1
          ","정말 신기하면서도 익숙한 맛이었습니다.
스프는 토마토 향도 나고 스튜나 국 쪽에 가까워요.
맛있게 먹었습니다."
사마르칸트시티,5,5,5,"
            GOLUBTSY 쇠고기말이（양배추.파프리카）/1,GULYASH 쇠고기굴라 와 으껜감자/1,SOTE（소테）/1
          ",가족끼리 맛있게 잘먹었어요 한국입맛에도 착착 붙음
사마르칸트시티,5,5,5,"
            화덕빵 쌈사/1,양꼬치 1개/2(추가 선택(추가 안함))
          ",이제 중국식 양꼬치는 못 먹겠네요 너무 맛있어요
사마르칸트시티,5,5,5,"
            PLOV 우즈벡전통볶음밥/1
          ",제가 이런 쌀을 엄청 좋아해서 더 맛있게 먹었던 것 같네요 양고기도 맛있었고 샐러드도 맛잇게 먹었습니다!
사마르칸트시티,5,4,5,"
            GULYASH 쇠고기굴라 와 으껜감자/1
          ",으깬 감자도 맛있고 당근도 맛있고 다 맛있어요!
사마르칸트시티,5,5,5,"
            PLOV 우즈벡전통볶음밥/1
          ",리뷰이벤트로 주신 당근샐러드가 너무 잘어울렸어요!! 고기도 부드럽고 간만에 집에서 색다른 맛을 느낄 수 있어서 너무 좋았습니다✨
사마르칸트시티,5,3,4,"
            PLOV 우즈벡전통볶음밥/1,MANTI 찜만두/1,나폴레옹케이크/1
          ","리뷰서비스랑 잘 먹었습니다.
매장에서 먹는거보다 배달이 각 메뉴마다 몇 천원씩 더 비싸네요.  사진에 메뉴들이 총 4만원 어치 입니다 참고들 하셔요!"
사마르칸트시티,5,3,5,"
            PLOV 우즈벡전통볶음밥/1,양꼬치 1개/1(추가 선택(추가 안함))
          ",오늘도 당근김치는 맛있네요... 당근김치를 위해 2만원을 태우는 남자가 있다?
